,aggregations,applicationId,applicationName,applicationPublicId,organizationId,organizationName
0,"[{'timePeriodStart': '2019-08-19', 'mttrLowThreat': None, 'mttrModerateThreat': None, 'mttrSevereThreat': None, 'mttrCriticalThreat': None, 'discoveredCounts': {'SECURITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 0, 'MODERATE': 1, 'SEVERE': 0, 'CRITICAL': 0}}, 'fixedCounts': {'SECURITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}}, 'waivedCounts': {'SECURITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}}, 'openCountsAtTimePeriodEnd': {'SECURITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 0, 'MODERATE': 1, 'SEVERE': 0, 'CRITICAL': 0}}, 'evaluationCount': 1}]",0a4c007019234edca666fb870bdea385,Application 2,App2,c6f2775a45d44d43a32621536e638a8e,Sandbox Organization
1,"[{'timePeriodStart': '2019-08-19', 'mttrLowThreat': 2396481229, 'mttrModerateThreat': 2396481229, 'mttrSevereThreat': 2396481229, 'mttrCriticalThreat': 2396481229, 'discoveredCounts': {'SECURITY': {'LOW': 0, 'MODERATE': 2, 'SEVERE': 27, 'CRITICAL': 20}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 1, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 1, 'CRITICAL': 0}}, 'fixedCounts': {'SECURITY': {'LOW': 0, 'MODERATE': 1, 'SEVERE': 23, 'CRITICAL': 20}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 1, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 1, 'CRITICAL': 0}}, 'waivedCounts': {'SECURITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}}, 'openCountsAtTimePeriodEnd': {'SECURITY': {'LOW': 0, 'MODERATE': 5, 'SEVERE': 69, 'CRITICAL': 43}, 'LICENSE': {'LOW': 0, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'QUALITY': {'LOW': 76, 'MODERATE': 0, 'SEVERE': 0, 'CRITICAL': 0}, 'OTHER': {'LOW': 1, 'MODERATE': 2, 'SEVERE': 1, 'CRITICAL': 0}}, 'evaluationCount': 2}]",289eeafe5e7e49ceaa3e3dc554450060,Sandbox Application,sandbox-application,c6f2775a45d44d43a32621536e638a8e,Sandbox Organization
